[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 1: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 2: Reward = -0.01, Waiting Time = 0.00, Queue Length = 5, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 3: Reward = -0.01, Waiting Time = 0.00, Queue Length = 5, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 4: Reward = -0.01, Waiting Time = 0.00, Queue Length = 5, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 5: Reward = -0.01, Waiting Time = 0.00, Queue Length = 5, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 6: Reward = -0.09, Waiting Time = 15.00, Queue Length = 3, Stopped Vehicles = 3, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 7: Reward = -0.11, Waiting Time = 20.00, Queue Length = 2, Stopped Vehicles = 2, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 8: Reward = -0.16, Waiting Time = 30.00, Queue Length = 2, Stopped Vehicles = 2, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 9: Reward = -0.21, Waiting Time = 40.00, Queue Length = 2, Stopped Vehicles = 2, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 10: Reward = -0.12, Waiting Time = 25.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 11: Reward = -0.15, Waiting Time = 30.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 12: Reward = -0.18, Waiting Time = 35.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 13: Reward = -0.20, Waiting Time = 40.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 14: Reward = -0.23, Waiting Time = 45.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 15: Reward = -0.26, Waiting Time = 50.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 16: Reward = -0.28, Waiting Time = 55.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 17: Reward = -0.30, Waiting Time = 60.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 18: Reward = -0.33, Waiting Time = 65.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 19: Reward = -0.35, Waiting Time = 70.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 20: Reward = -0.38, Waiting Time = 75.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 21: Reward = -0.41, Waiting Time = 80.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 22: Reward = -0.43, Waiting Time = 85.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 23: Reward = -0.46, Waiting Time = 90.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 24: Reward = -0.48, Waiting Time = 95.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 25: Reward = -0.51, Waiting Time = 100.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 26: Reward = -0.53, Waiting Time = 105.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 27: Reward = -0.56, Waiting Time = 110.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 28: Reward = -0.58, Waiting Time = 115.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 29: Reward = -0.60, Waiting Time = 120.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 30: Reward = -0.63, Waiting Time = 125.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 31: Reward = -0.66, Waiting Time = 130.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 32: Reward = -0.68, Waiting Time = 135.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 33: Reward = -0.70, Waiting Time = 140.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 34: Reward = -0.73, Waiting Time = 145.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 35: Reward = -0.76, Waiting Time = 150.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 36: Reward = -0.78, Waiting Time = 155.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 37: Reward = -0.81, Waiting Time = 160.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 38: Reward = -0.83, Waiting Time = 165.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 39: Reward = -0.85, Waiting Time = 170.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 40: Reward = -0.88, Waiting Time = 175.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 41: Reward = -0.91, Waiting Time = 180.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 42: Reward = -0.93, Waiting Time = 185.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 43: Reward = -0.95, Waiting Time = 190.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 44: Reward = -0.98, Waiting Time = 195.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 45: Reward = -1.00, Waiting Time = 200.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 46: Reward = -1.03, Waiting Time = 205.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 47: Reward = -1.05, Waiting Time = 210.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 48: Reward = -1.08, Waiting Time = 215.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 49: Reward = -1.10, Waiting Time = 220.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 50: Reward = -1.13, Waiting Time = 225.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 51: Reward = -1.16, Waiting Time = 230.00, Queue Length = 1, Stopped Vehicles = 1, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 52: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 53: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 54: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 55: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 56: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 57: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 58: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 59: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 60: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 61: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 62: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:37] [DEBUG] TrafficDQN - Step 63: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:38] [DEBUG] TrafficDQN - Step 64: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:38] [DEBUG] TrafficDQN - Step 65: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:39] [DEBUG] TrafficDQN - Step 66: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:39] [DEBUG] TrafficDQN - Step 67: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:39] [DEBUG] TrafficDQN - Step 68: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:39] [DEBUG] TrafficDQN - Step 69: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:39] [DEBUG] TrafficDQN - Step 70: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:40] [DEBUG] TrafficDQN - Step 71: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:40] [DEBUG] TrafficDQN - Step 72: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:40] [DEBUG] TrafficDQN - Step 73: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:40] [DEBUG] TrafficDQN - Step 74: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:40] [DEBUG] TrafficDQN - Step 75: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:41] [DEBUG] TrafficDQN - Step 76: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:41] [DEBUG] TrafficDQN - Step 77: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = 0.00
[2025-08-21 19:04:41] [DEBUG] TrafficDQN - Step 78: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:41] [DEBUG] TrafficDQN - Step 79: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:42] [DEBUG] TrafficDQN - Step 80: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:42] [DEBUG] TrafficDQN - Step 81: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:42] [DEBUG] TrafficDQN - Step 82: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:42] [DEBUG] TrafficDQN - Step 83: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:43] [DEBUG] TrafficDQN - Step 84: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = -0.50
[2025-08-21 19:04:43] [DEBUG] TrafficDQN - Step 85: Reward = 0.00, Waiting Time = 0.00, Queue Length = 0, Stopped Vehicles = 0, Throughput = 0, Phase Penalty = 0.00
